building_id,address,num_violations
27370,"820 RIVERSIDE DRIVE, MANHATTAN NY 10032",23
122866,"1038 WHITE PLAINS ROAD, BRONX NY 10472",23
246202,"209 EAST 16 STREET, BROOKLYN NY 11226",23
498932,"172-20 90 AVENUE, QUEENS NY 11432",23
88276,"941 INTERVALE AVENUE, BRONX NY 10459",23
97596,"2645 MORRIS AVENUE, BRONX NY 10468",23
42761,"614 WEST 157 STREET, MANHATTAN NY 10032",23
347168,"1100 OCEAN AVENUE, BROOKLYN NY 11230",23
29045,"371 WADSWORTH AVENUE, MANHATTAN NY 10040",23
367927,"312 SCHENECTADY AVENUE, BROOKLYN NY 11213",23
368932,"440 SENATOR STREET, BROOKLYN NY 11220",23
116677,"2518 UNIVERSITY AVENUE, BRONX NY 10468",23
51768,"3640 BRONX BOULEVARD, BRONX NY 10467",23
97654,"522 MORRIS AVENUE, BRONX NY 10451",23
120425,"2856 WEBB AVENUE, BRONX NY 10468",23
8208,"4133 BROADWAY, MANHATTAN NY 10033",22
59938,"2353 CROTONA AVENUE, BRONX NY 10458",22
188348,"3402 AVENUE I, BROOKLYN NY 11210",22
247806,"287 EAST 18 STREET, BROOKLYN NY 11226",22
377792,"362 STOCKTON STREET, BROOKLYN NY 11206",22
349264,"538 OVINGTON AVENUE, BROOKLYN NY 11209",22
485989,"33-17 82 STREET, QUEENS NY 11372",22
358666,"1909 QUENTIN ROAD, BROOKLYN NY 11229",22
284263,"149 EAST 96 STREET, BROOKLYN NY 11212",22
2693,"2153 5 AVENUE, MANHATTAN NY 10037",22
119698,"1292 WASHINGTON AVENUE, BRONX NY 10456",22
79277,"1253 FRANKLIN AVENUE, BRONX NY 10456",22
45126,"690 ALLERTON AVENUE, BRONX NY 10467",22
59321,"2850 CRESTON AVENUE, BRONX NY 10468",22
135087,"4600 9 AVENUE, BROOKLYN NY 11220",22
52675,"260 BROOK AVENUE, BRONX NY 10454",22
347747,"540 OCEAN AVENUE, BROOKLYN NY 11226",22
65537,"1742 EAST 172 STREET, BRONX NY 10472",22
327259,"305 LINDEN BOULEVARD, BROOKLYN NY 11226",22
63380,"454 EAST 144 STREET, BRONX NY 10454",22
66460,"786 EAST 182 STREET, BRONX NY 10460",22
81593,"2499 GRAND AVENUE, BRONX NY 10468",22
294862,"2105 FOSTER AVENUE, BROOKLYN NY 11210",22
120383,"2715 WEBB AVENUE, BRONX NY 10468",22
81871,"2760 GRAND CONCOURSE, BRONX NY 10458",22
117787,"3094 VILLA AVENUE, BRONX NY 10468",22
68507,"725 EAST 217 STREET, BRONX NY 10467",22
104595,"919 PROSPECT AVENUE, BRONX NY 10459",22
5873,"495 WEST 186 STREET, MANHATTAN NY 10033",22
81866,"2701 GRAND CONCOURSE, BRONX NY 10468",22
119859,"2260 WASHINGTON AVENUE, BRONX NY 10457",21
119271,"735 WALTON AVENUE, BRONX NY 10451",21
118894,"2572 WALLACE AVENUE, BRONX NY 10467",21
129246,"5422 4 AVENUE, BROOKLYN NY 11220",21
18916,"126 EAST 103 STREET, MANHATTAN NY 10029",21
60378,"2114 DALY AVENUE, BRONX NY 10460",21
266729,"365 EAST 49 STREET, BROOKLYN NY 11203",21
68193,"766 EAST 215 STREET, BRONX NY 10467",21
125691,"950 WOODYCREST AVENUE, BRONX NY 10452",21
94356,"2550 MARION AVENUE, BRONX NY 10458",21
247159,"578 EAST 17 STREET, BROOKLYN NY 11226",21
87220,"2016 HUGHES AVENUE, BRONX NY 10457",21
92783,"1050 LOWELL STREET, BRONX NY 10459",21
303236,"456 GRANT AVENUE, BROOKLYN NY 11208",21
8106,"3671 BROADWAY, MANHATTAN NY 10031",21
28043,"600 WEST 192 STREET, MANHATTAN NY 10040",21
65112,"127 EAST 169 STREET, BRONX NY 10452",21
248194,"165 EAST 19 STREET, BROOKLYN NY 11226",21
95493,"622 MEAD STREET, BRONX NY 10460",21
3390,"1890 ADAM C POWELL BOULEVARD, MANHATTAN NY 10026",21
64076,"727 EAST 156 STREET, BRONX NY 10455",21
287550,"1196 EASTERN PARKWAY, BROOKLYN NY 11213",21
210826,"62 BLEECKER STREET, BROOKLYN NY 11221",20
249575,"543 EAST 21 STREET, BROOKLYN NY 11226",20
242324,"10 WESTMINSTER ROAD, BROOKLYN NY 11218",20
96771,"1665 MONROE AVENUE, BRONX NY 10457",20
39387,"530 WEST 123 STREET, MANHATTAN NY 10027",20
84072,"2250 HAVILAND AVENUE, BRONX NY 10462",20
76110,"105 ELLIOT PLACE, BRONX NY 10452",20
65814,"265 EAST 176 STREET, BRONX NY 10457",20
119048,"1453 WALTON AVENUE, BRONX NY 10452",20
73382,"707 EAST 242 STREET, BRONX NY 10470",20
53790,"735 BRYANT AVENUE, BRONX NY 10474",20
21860,"86 FT WASHINGTON AVENUE, MANHATTAN NY 10032",20
65037,"221 EAST 168 STREET, BRONX NY 10456",20
115576,"1786 TOPPING AVENUE, BRONX NY 10457",20
100414,"3435 OLINVILLE AVENUE, BRONX NY 10467",20
28273,"880 ST NICHOLAS AVENUE, MANHATTAN NY 10032",20
19609,"110 EAST 116 STREET, MANHATTAN NY 10029",20
39416,"148 WEST 124 STREET, MANHATTAN NY 10027",20
59215,"2385 CRESTON AVENUE, BRONX NY 10468",20
183916,"2020 ALBEMARLE ROAD, BROOKLYN NY 11226",20
368936,"446 SENATOR STREET, BROOKLYN NY 11220",20
660750,"18-06 GATEWAY BOULEVARD, QUEENS NY 11691",20
45422,"1098 ANDERSON AVENUE, BRONX NY 10452",20
187164,"9415 AVENUE A, BROOKLYN NY 11236",20
356822,"1583 PROSPECT PLACE, BROOKLYN NY 11233",20
43402,"554 WEST 181 STREET, MANHATTAN NY 10033",20
89073,"1465 JESUP AVENUE, BRONX NY 10452",20
929108,"3333D BROADWAY, MANHATTAN NY 10031",20
19304,"209 EAST 110 STREET, MANHATTAN NY 10029",20
347736,"455 OCEAN AVENUE, BROOKLYN NY 11226",20
25357,"16 MARBLE HILL AVENUE, MANHATTAN NY 10463",20
85442,"1057 HOE AVENUE, BRONX NY 10459",20
27553,"65 SEAMAN AVENUE, MANHATTAN NY 10034",20
81521,"2181 GRAND AVENUE, BRONX NY 10453",20
85613,"2427 HOFFMAN STREET, BRONX NY 10458",19
119285,"975 WALTON AVENUE, BRONX NY 10452",19
8801,"5 CABRINI BOULEVARD, MANHATTAN NY 10033",19
65962,"304 EAST 178 STREET, BRONX NY 10457",19
218219,"951 CARROLL STREET, BROOKLYN NY 11225",19
248053,"125 EAST 19 STREET, BROOKLYN NY 11226",19
43006,"530 WEST 163 STREET, MANHATTAN NY 10032",19
67427,"174 EAST 206 STREET, BRONX NY 10458",19
81766,"2060 GRAND CONCOURSE, BRONX NY 10457",19
66860,"50 EAST 191 STREET, BRONX NY 10468",19
65345,"595 EAST 170 STREET, BRONX NY 10456",19
97947,"1133 MORRISON AVENUE, BRONX NY 10472",19
45454,"974 ANDERSON AVENUE, BRONX NY 10452",19
64340,"454 EAST 160 STREET, BRONX NY 10451",19
42972,"543 WEST 162 STREET, MANHATTAN NY 10032",19
349207,"321 OVINGTON AVENUE, BROOKLYN NY 11209",19
25930,"200 NAGLE AVENUE, MANHATTAN NY 10034",19
27361,"807 RIVERSIDE DRIVE, MANHATTAN NY 10032",19
112037,"1050 SUMMIT AVENUE, BRONX NY 10452",19
43284,"565 WEST 175 STREET, MANHATTAN NY 10033",19
117111,"2654 VALENTINE AVENUE, BRONX NY 10458",19
116847,"1815 DR M L KING JR BOULEVARD, BRONX NY 10453",19
28949,"72 VERMILYEA AVENUE, MANHATTAN NY 10034",19
107771,"2165 RYER AVENUE, BRONX NY 10457",19
497352,"162-20 89 AVENUE, QUEENS NY 11432",19
94406,"2735 MARION AVENUE, BRONX NY 10458",19
808684,"101 LENOX ROAD, BROOKLYN NY 11226",19
812478,"35 HOLLAND AVENUE, STATEN ISLAND NY 10303",19
94510,"2001 MARMION AVENUE, BRONX NY 10460",19
79725,"1230 FULTON AVENUE, BRONX NY 10456",19
60467,"2050 DAVIDSON AVENUE, BRONX NY 10453",19
40073,"409 WEST 129 STREET, MANHATTAN NY 10027",19
63479,"337 EAST 146 STREET, BRONX NY 10451",19
85938,"3030 HOLLAND AVENUE, BRONX NY 10467",19
60267,"3212 CRUGER AVENUE, BRONX NY 10467",19
6196,"200 AUDUBON AVENUE, MANHATTAN NY 10033",19
59206,"2332 CRESTON AVENUE, BRONX NY 10468",19
248660,"49 EAST 19 STREET, BROOKLYN NY 11226",19
347248,"1576 OCEAN AVENUE, BROOKLYN NY 11230",19
150946,"1042 45 STREET, BROOKLYN NY 11219",18
378793,"124 STUYVESANT AVENUE, BROOKLYN NY 11221",18
43120,"561 WEST 169 STREET, MANHATTAN NY 10032",18
81436,"1750 GRAND AVENUE, BRONX NY 10453",18
807465,"1274 55 STREET, BROOKLYN NY 11219",18
207653,"913 BELMONT AVENUE, BROOKLYN NY 11208",18
398826,"588 WYONA STREET, BROOKLYN NY 11207",18
357358,"940 PROSPECT PLACE, BROOKLYN NY 11213",18
46677,"2732 BAINBRIDGE AVENUE, BRONX NY 10458",18
6277,"560 AUDUBON AVENUE, MANHATTAN NY 10040",18
261063,"249 EAST 37 STREET, BROOKLYN NY 11203",18
75980,"1141 ELDER AVENUE, BRONX NY 10472",18
222669,"349 CLIFTON PLACE, BROOKLYN NY 11216",18
26984,"101 POST AVENUE, MANHATTAN NY 10034",18
67128,"206 EAST 198 STREET, BRONX NY 10458",18
46172,"2110 ARTHUR AVENUE, BRONX NY 10457",18
324278,"75 LENOX ROAD, BROOKLYN NY 11226",18
60520,"2401 DAVIDSON AVENUE, BRONX NY 10468",18
122960,"1233 WHITE PLAINS ROAD, BRONX NY 10472",18
59160,"2076 CRESTON AVENUE, BRONX NY 10453",18
77561,"709 FAIRMOUNT PLACE, BRONX NY 10457",18
73880,"1230 EAST TREMONT AVENUE, BRONX NY 10460",18
66211,"363 EAST 180 STREET, BRONX NY 10457",18
71553,"646 EAST 231 STREET, BRONX NY 10466",18
5389,"616 ACADEMY STREET, MANHATTAN NY 10034",18
472955,"37-17 75 STREET, QUEENS NY 11372",18
812479,"55 HOLLAND AVENUE, STATEN ISLAND NY 10303",18
5559,"1437 AMSTERDAM AVENUE, MANHATTAN NY 10027",18
42879,"645 WEST 160 STREET, MANHATTAN NY 10032",18
122162,"226 WEST TREMONT AVENUE, BRONX NY 10453",18
90956,"1315 LAFAYETTE AVENUE, BRONX NY 10474",18
43639,"560 WEST 192 STREET, MANHATTAN NY 10040",18
138349,"5510 13 AVENUE, BROOKLYN NY 11219",18
81786,"2230 GRAND CONCOURSE, BRONX NY 10457",18
6206,"247 AUDUBON AVENUE, MANHATTAN NY 10033",18
60439,"1775 DAVIDSON AVENUE, BRONX NY 10453",18
205866,"2150 BEDFORD AVENUE, BROOKLYN NY 11226",18
383101,"1236 UNION STREET, BROOKLYN NY 11225",18
59222,"2415 CRESTON AVENUE, BRONX NY 10468",18
363522,"1049 ROGERS AVENUE, BROOKLYN NY 11226",18
80101,"731 GERARD AVENUE, BRONX NY 10451",18
249200,"21 EAST 21 STREET, BROOKLYN NY 11226",18
65704,"154 EAST 175 STREET, BRONX NY 10457",18
60947,"3165 DECATUR AVENUE, BRONX NY 10467",18
121290,"104 WEST 190 STREET, BRONX NY 10468",18
55433,"1050 CARROLL PLACE, BRONX NY 10456",17
107767,"2105 RYER AVENUE, BRONX NY 10457",17
92616,"2356 LORILLARD PLACE, BRONX NY 10458",17
59243,"2592 CRESTON AVENUE, BRONX NY 10468",17
28046,"1640 ST NICHOLAS AVENUE, MANHATTAN NY 10040",17
59950,"2409 CROTONA AVENUE, BRONX NY 10458",17
332335,"602 MAPLE STREET, BROOKLYN NY 11203",17
55195,"4206 CARPENTER AVENUE, BRONX NY 10466",17
109460,"1511 SHERIDAN AVENUE, BRONX NY 10457",17
121240,"95 WEST 183 STREET, BRONX NY 10453",17
67002,"235 EAST 196 STREET, BRONX NY 10458",17
60535,"2487 DAVIDSON AVENUE, BRONX NY 10468",17
8252,"4308 BROADWAY, MANHATTAN NY 10033",17
81987,"840 GRAND CONCOURSE, BRONX NY 10451",17
112465,"1427 TAYLOR AVENUE, BRONX NY 10460",17
8149,"3856 BROADWAY, MANHATTAN NY 10032",17
66759,"737 EAST 187 STREET, BRONX NY 10458",17
116656,"1980 UNIONPORT ROAD, BRONX NY 10462",17
80987,"3971 GOUVERNEUR AVENUE, BRONX NY 10463",17
314045,"199 HOWARD AVENUE, BROOKLYN NY 11233",17
81554,"2322 GRAND AVENUE, BRONX NY 10468",17
347347,"1947 OCEAN AVENUE, BROOKLYN NY 11230",17
48974,"1526 BEACH AVENUE, BRONX NY 10460",17
398196,"137 WYCKOFF AVENUE, BROOKLYN NY 11237",17
332221,"295 MAPLE STREET, BROOKLYN NY 11225",17
142408,"140 17 STREET, BROOKLYN NY 11215",17
45458,"985 ANDERSON AVENUE, BRONX NY 10452",17
56815,"1145 CLAY AVENUE, BRONX NY 10456",17
155797,"463 52 STREET, BROOKLYN NY 11220",17
21785,"251 FT WASHINGTON AVENUE, MANHATTAN NY 10032",17
375001,"805 ST MARKS AVENUE, BROOKLYN NY 11213",17
60799,"2600 DECATUR AVENUE, BRONX NY 10458",17
109437,"1231 SHERIDAN AVENUE, BRONX NY 10456",17
81406,"1645 GRAND AVENUE, BRONX NY 10453",17
70386,"967 EAST 224 STREET, BRONX NY 10466",17
351148,"19 PARADE PLACE, BROOKLYN NY 11226",17
362432,"318 ROCHESTER AVENUE, BROOKLYN NY 11213",17
48908,"1319 BEACH AVENUE, BRONX NY 10472",17
933956,"853 HALSEY STREET, BROOKLYN NY 11233",17
116935,"2305 DR M L KING JR BOULEVARD, BRONX NY 10468",17
67396,"200 EAST 205 STREET, BRONX NY 10458",17
198089,"429 BAINBRIDGE STREET, BROOKLYN NY 11233",17
67102,"319 EAST 197 STREET, BRONX NY 10458",17
928985,"2818 BRONX PARK EAST, BRONX NY 10467",17
99518,"2001 NEWBOLD AVENUE, BRONX NY 10462",17
116822,"1652 DR M L KING JR BOULEVARD, BRONX NY 10453",17
19972,"170 EAST 118 STREET, MANHATTAN NY 10035",17
43291,"619 WEST 175 STREET, MANHATTAN NY 10033",17
47955,"456 BARRETT AVENUE, BRONX NY 10473",17
120830,"1801 WEEKS AVENUE, BRONX NY 10457",17
117104,"2526 VALENTINE AVENUE, BRONX NY 10458",17
81878,"2815 GRAND CONCOURSE, BRONX NY 10468",17
808064,"1303 DEAN STREET, BROOKLYN NY 11216",17
108628,"1515 SELWYN AVENUE, BRONX NY 10457",17
87218,"1997 HUGHES AVENUE, BRONX NY 10457",17
43386,"711 WEST 180 STREET, MANHATTAN NY 10033",16
80968,"3135 GODWIN TERRACE, BRONX NY 10463",16
80073,"1098 GERARD AVENUE, BRONX NY 10452",16
49487,"2373 BELMONT AVENUE, BRONX NY 10458",16
27999,"1471 ST NICHOLAS AVENUE, MANHATTAN NY 10033",16
362062,"259 RIDGEWOOD AVENUE, BROOKLYN NY 11208",16
296968,"8220 FT HAMILTON PARKWAY, BROOKLYN NY 11209",16
374993,"769 ST MARKS AVENUE, BROOKLYN NY 11213",16
81577,"2420 GRAND AVENUE, BRONX NY 10468",16
246519,"605 EAST 16 STREET, BROOKLYN NY 11226",16
81429,"1718 GRAND AVENUE, BRONX NY 10453",16
115582,"1821 TOPPING AVENUE, BRONX NY 10457",16
80104,"825 GERARD AVENUE, BRONX NY 10451",16
220166,"2553 CHURCH AVENUE, BROOKLYN NY 11226",16
59730,"2002 ELLIS AVEUE, BRONX NY 10472",16
347176,"115 OCEAN AVENUE, BROOKLYN NY 11225",16
216442,"83 BUTLER STREET, BROOKLYN NY 11231",16
63598,"335 EAST 148 STREET, BRONX NY 10451",16
357655,"1027 PUTNAM AVENUE, BROOKLYN NY 11221",16
247564,"201 EAST 18 STREET, BROOKLYN NY 11226",16
97432,"1881 MORRIS AVENUE, BRONX NY 10453",16
268984,"126 EAST 53 STREET, BROOKLYN NY 11203",16
74520,"1691 EASTBURN AVENUE, BRONX NY 10457",16
60825,"2704 DECATUR AVENUE, BRONX NY 10458",16
316901,"1405 JEFFERSON AVENUE, BROOKLYN NY 11237",16
55758,"1064 CAULDWELL AVENUE, BRONX NY 10456",16
62803,"492 EAST 138 STREET, BRONX NY 10454",16
83716,"2055 HARRISON AVENUE, BRONX NY 10453",16
85566,"900 HOE AVENUE, BRONX NY 10459",16
96761,"2095 MOHEGAN AVENUE, BRONX NY 10460",16
675171,"19-13 LINDEN STREET, QUEENS NY 11385",16
119015,"1054 WALTON AVENUE, BRONX NY 10452",16
287552,"1199 EASTERN PARKWAY, BROOKLYN NY 11213",16
97954,"1235 MORRISON AVENUE, BRONX NY 10472",16
326015,"568 LINCOLN AVENUE, BROOKLYN NY 11208",16
28291,"930 ST NICHOLAS AVENUE, MANHATTAN NY 10032",16
217562,"1435 CARROLL STREET, BROOKLYN NY 11213",16
